airport,name,latitude,longitude
ABE,Lehigh Valley International Airport,40.6521,-75.4408
ABQ,Albuquerque International Sunport,35.0402,-106.609
ACA,General Juan N. Alvarez International Airport,16.7571,-99.754
ACC,Kotoka International Airport,5.60519,-0.166786
ACV,Arcata-Eureka Airport,40.9781,-124.109
AGU,Lic. Jesus Teran Peredo International Airport,21.7056,-102.318
AKL,Auckland Airport,-37.0081,174.792
ALB,Albany International Airport,42.7483,-73.8017
AMA,Rick Husband Amarillo International Airport,35.2194,-101.706
AMM,Queen Alia International Airport,31.7226,35.9932
AMS,Amsterdam Airport Schiphol,52.3086,4.76389
ANC,Ted Stevens Anchorage International Airport,61.1744,-149.996
ANU,V. C. Bird International Airport,17.1367,-61.7927
ASE,Aspen-Pitkin County Airport (Sardy Field),39.2232,-106.869
ATH,Athens International Airport (Eleftherios Venizelos Airport),37.9364,23.9445
ATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
ATW,Appleton International Airport,44.2581,-88.5191
AUA,Queen Beatrix International Airport,12.5014,-70.0152
AUS,Austin-Bergstrom International Airport,30.1945,-97.6699
AVP,Wilkes-Barre/Scranton International Airport,41.3385,-75.7234
BCN,Barcelona El Prat Airport,41.2971,2.07846
BDL,Bradley International Airport,41.9392,-72.6833
BER,Berlin Brandenburg Airport,52.3514,13.4939
BFF,Western Nebraska Regional Airport (William B. Heilig Field),41.874,-103.596
BFL,Meadows Field Airport,35.4336,-119.057
BGI,Grantley Adams International Airport,13.0746,-59.4925
BGR,Bangor International Airport,44.8074,-68.8281
BHM,Birmingham-Shuttlesworth International Airport,33.5629,-86.7535
BIL,Billings Logan International Airport,45.8077,-108.543
BIS,Bismarck Municipal Airport,46.7727,-100.746
BJX,Del Bajio International Airport (Guanajuato Int'l Airport),20.9935,-101.481
BNA,Nashville International Airport,36.1245,-86.6782
BNE,Brisbane Airport,-27.3842,153.117
BOG,El Dorado International Airport,4.70159,-74.1469
BOI,Boise Air Terminal (Gowen Field),43.5644,-116.223
BON,Flamingo International Airport,12.131,-68.2685
BOS,Logan International Airport,42.3643,-71.0052
BQN,Rafael Hernandez Airport,18.4949,-67.1294
BRU,Brussels Airport (Zaventem Airport),50.9014,4.48444
BTR,Baton Rouge Metropolitan Airport (Ryan Field),30.5332,-91.1496
BTV,Burlington International Airport,44.4719,-73.1533
BUF,Buffalo Niagara International Airport,42.9405,-78.7322
BUR,Bob Hope Airport,34.2007,-118.359
BWI,Baltimore/Washington International Airport,39.1753,-76.6683
BZE,Philip S. W. Goldson International Airport,17.5391,-88.3082
BZN,Bozeman Yellowstone International Airport (Gallatin Field),45.7775,-111.153
CAE,Columbia Metropolitan Airport,33.9388,-81.1195
CAK,Akron-Canton Airport,40.9161,-81.4422
